K,startSec,endSec,key
37,128,132,Bdur
37,134,143,Cmoll
37,158,169,Cmoll
38,11,29,Cdur
43,0,20,Gmoll
43,29,44,Dmoll
43,111,128,Gmoll
44,0,19,Fdur
44,30,39,Cdur
44,42,62,Cmoll
44,65,78,Cdur
44,162,172,Cmoll
44,188,212,Fmoll
44,214,228,Fdur
45,0,31,Ddur
45,34,47,Amoll
45,50,56,Adur
45,150,155,Ddur
46,20,25,Fismoll
46,28,39,Emoll
46,56,76,Hdur
46,157,163,Cismoll
46,204,224,Edur
47,54,108,Fdur
47,154,160,Gmoll
47,196,213,Bdur
48,0,12,Cmoll
48,14,22,Esdur
48,41,55,Gmoll
48,115,121,Cmoll
48,126,133,Fmoll
48,140,167,Cmoll
49,184,197,Cdur
49,201,209,Cdur
50,0,8,Fmoll
50,20,63,Cmoll
50,139,151,Asdur
50,170,206,Fmoll
51,24,32,Bmoll
51,34,47,Bdur
51,138,150,Esdur
53,0,12,Ddur
53,23,31,Amoll
53,33,38,Adur
53,80,100,Adur
53,102,128,Dmoll
54,19,55,Emoll
54,129,176,Amoll
55,0,14,Gdur
55,29,45,Ddur
55,116,130,Gmoll
55,132,149,Gdur
56,0,17,Cmoll
56,19,67,Gmoll
56,145,150,Esdur
56,161,200,Cmoll
57,0,13,Bdur
57,16,30,Fdur
57,32,34,Dmoll
57,56,79,Fdur
57,162,172,Fdur
57,208,235,Bdur
59,0,10,Fdur
59,13,24,Cmoll
59,52,80,Fdur
60,14,27,Gmoll
60,61,74,Gmoll
62,0,7,Adur
62,22,34,Emoll
62,38,41,Edur
62,116,127,Adur
64,8,15,Amoll
64,44,64,Dmoll
65,19,28,Edur
65,59,66,Adur
65,84,90,Adur
66,0,7,Bdur
66,15,43,Fdur
66,121,129,Bdur
67,0,5,Fisdur
67,17,25,Fismoll
67,66,75,Fismoll
68,0,11,Esdur
68,59,71,Bdur
68,186,219,Esdur
69,0,11,Fmoll
69,34,40,Cmoll
69,97,129,Fmoll
70,0,9,Bdur
70,14,34,Fdur
70,89,104,Bdur
71,12,19,Dmoll
71,21,28,Ddur
71,66,70,Amoll
71,83,90,Gdur
72,0,21,Cdur
72,34,39,Gdur
72,81,85,Gdur
72,110,116,Cdur
73,14,27,Cmoll
73,136,149,Cdur
74,0,7,Adur
74,37,47,Edur
74,47,59,Adur
76,14,26,Dmoll
76,78,90,Gmoll
77,28,33,Fdur
77,121,136,Dmoll
77,181,200,Dmoll
78,45,57,Fdur
78,80,87,Fdur
78,109,117,Fdur
79,0,14,Gdur
79,23,38,Ddur
79,111,116,Gdur
82,119,145,Fdur
83,0,10,Adur
83,27,36,Edur
83,75,81,Edur
83,115,120,Adur
83,171,176,Adur
84,0,10,Cmoll
84,116,129,Cmoll
85,0,12,Fdur
85,18,27,Cdur
85,89,97,Fdur
86,56,82,Gdur
86,229,240,Cdur
92,136,164,Dmoll
96,0,17,Ddur
96,30,32,Edur
96,55,78,Adur
96,176,202,Ddur
97,48,70,Bdur
97,196,246,Gmoll
98,0,9,Emoll
98,24,38,Gdur
98,34,122,Emoll
99,49,67,Gmoll
99,178,206,Cmoll
100,12,25,Gdur
100,97,109,Cdur







